YTID,Keywords
-DWRAxaH_RY,Music;Speech;Steelpan
-DYZX74qgFQ,Music;Funny music
-DZMYxyB6L8,Opera
-D_ljLTbCK0,Music;Helicopter
-DcMk015qSA,Creak
-DeAdhYKbGE,"Bagpipes;Wind instrument, woodwind instrument"
-Dj2PfPmynQ,Music;Choir;Male singing;Female singing
-Dl-VzBPd9E,Applause
-Dtir74TiUM,Scratching (performance technique);Drum and bass;Music;Scratch
-DvxsHG1tuo,"Music;Male speech, man speaking;Yell;Speech"
-E013cWxoMo,Fart
-ECK_BisOLM,Music;Synthetic singing
-EDGR1davAc,Bicycle bell
-EDhb2m8qhk,Video game music;Music
-EFS2mihxs0,"Reversing beeps;Vehicle;Outside, rural or natural"
-ETHxO8vrAg,Singing;Music;Female singing
-ETSfElMyNc,White noise
-En5nC5Tka4,Squish;Speech
-F8ZP9sXcKM,Synthetic singing
-FEPOSP7ay0,Bell
-FFx68qSAuY,Drum;Drum kit;Drum roll;Rimshot;Snare drum;Bass drum;Percussion
-FT5MbWPCzg,Church bell
-FVBrg2qeIA,Guitar;Music;Musical instrument;Whoop;Speech;Plucked string instrument
-FYyJ2sAWk4,Coin (dropping)
-Fby-7z_JpE,"Neigh, whinny"
-FlvaZQOr2I,Music;Scary music
-Fn3Ze8xVOE,Psychedelic rock;Progressive rock
-G3Ph35cTy0,Speech;Whimper (dog)
-GDC7PuqdOM,Engine;Idling;Medium engine (mid frequency);Engine starting
-GI5PbO6j50,Screaming
-GREE8GdRrc,"Fusillade;Outside, rural or natural"
-G_hnfp4a0M,"Music;Walk, footsteps"
-GaHBgRGi4s,"Music;Chatter;Speech;Inside, large room or hall"
-GbQWmFzVdY,"Bee, wasp, etc.;Insect;Fly, housefly"
-GiRtQZlnbw,Motorcycle;Vehicle
-GlZ819IHfE,Chopping (food)
-H5WnRXsnoM,"Ping;Speech;Inside, small room"
-H5kC4WsuI8,Tap;Speech
-H7l8OjHID4,Mains hum;Hum
-HLoD4GWMtw,Mouse
-HN5kqCKpEA,Music;Bang;Speech
-Hav5URxl74,Electric toothbrush
-HlS6jz-f0I,Music;Music of Bollywood
-HnNrGtKXp4,Music;Electronica
-HvtS74RG8w,Hammer
-IKwiAsgpAI,Filing (rasp);Rub;Wood
-IWlQN6cfe4,"Walk, footsteps"
-IZsyroG6yo,Chatter;Speech
-ItCGHv_9Gs,Knock;Speech
-J0H5ah1G7A,Background music;Music
-JBvPwxaVVg,"Music;Thump, thud;Speech"
-JKLmqDk9p8,Rain;Raindrop;Thunderstorm;Thunder;Rain on surface
-JOKwS64mRU,"Boat, Water vehicle;Wind;Ship;Wind noise (microphone)"
-JVWfFPBl84,Singing bowl
-Jam3cjbeFQ,Bang;Speech
-JbPonixXS4,Chainsaw;Power tool
-JfXNXGi-l8,Hair dryer
-JfpacjZWyw,Mantra
-Jie0k7xUIk,Toothbrush;Drip
-JuVh6islEI,Radio;Speech
-K-k1pxeRtQ,Crowd;Battle cry
-K4R9SXZZsk,Motor vehicle (road);Vehicle;Noise;Car
-KElVp2r03E,Basketball bounce;Slam;Speech
-KaRoM5LnHc,Flap;Speech
-KengzYsTkk,Steam whistle
-KiAK66YwW8,Grunt;Speech
-L44JqysUy8,"Clicking;Speech;Inside, small room"
-L68XDzhn2g,Mechanical fan;Speech
-LB1RoVe8Xc,Music;Thunk
-LBl0UeKNyU,"Slosh;Speech;Inside, small room;Outside, urban or manmade"
-LQM385KSMY,Blues;Music;Rhythm and blues;Ska
-M-6VinyMiY,Music;Sad music
-MZx1np1Ddc,Echo;Speech
-M_5w6KKfgQ,Music;Knock;Speech
-MfaG0whPJc,"Scrape;Outside, rural or natural"
-MtYGIr-o08,Crowd;Battle cry
-Mu1AWT_x54,Keys jangling;Speech
-N2reaP4SoI,Acoustic guitar;Music;Strum;Speech
-NC5li0b4eY,Music;Male singing;Female singing;Synthetic singing
-NNjOlPg0y0,Music;Television
-NPqCu4DyAM,Music;Funny music
-N_vl1d7TFA,"Cat;Purr;Music;Domestic animals, pets;Animal"
-NmjCyqIavI,Beatboxing;Music;Vocal music
-NutOdeXH8s,"Trickle, dribble"
-NwuLeOWpLk,Scissors
-O842QWtymw,Croak;Frog
-O9mnfC61Ac,Country
-ODqYMQFwsY,Car passing by
-ODzHayGHvk,Growling
-OIGA3xjYyQ,"Whack, thwack"
-OYfLX-2kmU,Christmas music;Music
-OaOY7-71ME,Music;Dance music
-OylLzMa0d0,Music;Zing
-PFO-nCfRq0,Toilet flush;Water
-PIuJAAplqI,Gospel music;Music
-Pvyzs28PJw,"Chewing, mastication;Biting;Crunch"
-Q9WotFs1MI,Chop
-QE9dqhf_D8,Cupboard open or close;Speech
-QSNQGKiGT4,Screaming
-QVqh513RxQ,"Domestic animals, pets;Speech;Dog;Animal;Whimper (dog)"
-QcXMPUNMeM,"Speech;Boing;Inside, small room"
-QivqOnaPIc,"Dental drill, dentist's drill;Speech"
-QoZQDW4qjU,"Music;Domestic animals, pets;Yip;Dog;Animal;Whimper (dog)"
-R0267o4lLk,Cowbell;Drum;Drum kit;Drum roll;Rimshot;Snare drum;Bass drum;Percussion
-R9gJXtS07g,Music;Rumble
-RAdrtCW1hI,"Gunshot, gunfire;Cap gun"
-RIzfomIqZc,Music;Single-lens reflex camera;Speech
-RPKtQIGBOY,"Chewing, mastication"
-RRi3QktLdc,"Speech;Child speech, kid speaking;Children playing;Outside, urban or manmade"
-RZ01HFrafg,Crack
-RfUo7Hb8TE,Reverberation;Music;Speech
-Rl7NZwtVmA,"Bird flight, flapping wings"
-RlXse804I0,Background music;Music
-RsGz8XRZUM,Biting;Crackle;Crunch
-Ry1YNVPPCM,"Domestic animals, pets;Bow-wow;Speech;Dog;Animal;Whimper (dog)"
-S-Cn-IKlQw,Gurgling;Speech
-SD9DkKyOrY,Cymbal;Drum;Drum kit;Hi-hat;Rimshot;Snare drum;Bass drum;Percussion
-Sclnq22t7o,"Burping, eructation"
-T-ZI1MZ44g,"Music;Speech;Inside, public space"
-T4GeTHKtJQ,Funk;Music
-TJe1_ECCwM,Bang
-TNmWwhsnzs,Scrape
-Tea8DpWZQM,Singing;Yodeling;Speech
-ToQFT3M-Vg,Theme music;Music
-TpdnwhYCvk,"Burst, pop"
-TvUb8THUq4,Music;Rapping
-U3Xh6Fsw50,Bouncing;Speech
-UGmXiQ8yiY,Bathtub (filling or washing);Fill (with liquid);Speech
-UNPp3fEWSE,Drill;Tools;Power tool
-UYmhq3Rjtc,Music;Bang
-Ub8LKPkhos,Mains hum
-UbFLKplzbE,Chainsaw
-UcfsxiD_ns,Sewing machine
-UfqtS1lsRY,Zither;Pizzicato
-UuEBhule84,Singing;Country;Music;Strum
-Uw2HHni78U,Thunderstorm;Thunder
-V7u2HffQAE,Thunk;Speech
-VI2IRq17rs,Bell
-VXpZuIsb_g,Buzzer;Speech
-VZZ_IzaG7A,Ding
-VclCul6FrI,"Organ;Music;Musical instrument;Keyboard (musical);Piano;Harmonic;Inside, small room"
-VygdbfiRes,Gurgling;Speech
-W5c6CeUMPE,Yodeling;Music;Flute;Accordion
-WFsDr9xBVo,Air conditioning;Speech
-WH_8Hk1fnM,Music;Tambourine
-WX7nQcZPVQ,Music;Musical instrument;Tambourine
-WmL01c-4ZE,"Slam;Speech;Outside, urban or manmade"
-Wu-WkTumEM,Music;Female singing;Child singing
-X14yAhC-SE,Crack
-X5Ay0Wuew0,Arrow
-X5M6FevXWU,Heavy metal;Music;Progressive rock
-XAxN0GUsLs,"Insect;Mosquito;Fly, housefly"
-XN0NtrnfMY,Music;Exciting music
-XOINU-l1_o,Music;Exciting music
-XVgCqsHi3g,Engine;Jet engine;Idling;Vehicle;Heavy engine (low frequency)
-XkbErI_7EU,Brass instrument;French horn
-XxJ50brqGw,Speech;Oink
-Y1qiiugnk8,Ambulance (siren);Emergency vehicle;Siren
-Y3kEZ8li-A,Whip
-YATTKBtmRA,Electric piano;Keyboard (musical);Piano
-YGmAv-5bYk,Wood block;Percussion
-YX2e66b5HA,Music;Wedding music
-YZRsLrmqEA,Crackle
-Ypg2o4TqXM,Knock
-YxGyNHMasQ,"Sink (filling or washing);Water tap, faucet;Water"
-ZHpNr_KRXU,Folk music;Music
-Ze_xQhxKRo,Waterfall
-ZjxFZOaY50,Fowl;Honk;Goose
-_6RxZyi30Q,"Singing;Music;Music of Latin America;Inside, large room or hall"
-_Hpy806bks,"Cutlery, silverware;Dishes, pots, and pans"
-_OzT7Xyvok,Blues;Flamenco;Music;Independent music;Rhythm and blues
-_dElQcyJnA,Ambulance (siren);Emergency vehicle;Siren;Police car (siren)
-a6J2OMtfZc,Singing;Music;Salsa music;Maraca
-aC8TJIZrtE,"Bird;Bird vocalization, bird call, bird song;Fowl;Crowing, cock-a-doodle-doo;Cluck;Chicken, rooster"
-b1l5v-fpNs,Bouncing;Speech
-b6pKB99TKg,Plop;Speech
-b_10b-orX4,Fire
-blH_CYo09w,"Music;Walk, footsteps"
-buXkpFmCWY,Gong
-bxDQSLTdEs,Rustle
-cLzki-B06o,Music;Soul music
-cQ-jUTEgck,Traditional music;Music
-cQV8iXK3pQ,"Gunshot, gunfire;Artillery fire"
-cUFMQCB2dA,Cowbell
-cVFtuOI5uo,Music;Slosh;Speech
-cWrzrfVdMQ,"Gunshot, gunfire;Cap gun"
-d6ytV5GfH4,Vehicle;Helicopter
-d7CDTWso5c,Jingle bell
-dEOa2GkXHw,Speech;White noise
-dUX-8UM_jo,Video game music;Music;Soundtrack music
-dYTGqyVFNM,Crushing
-dfDSA5oB60,Dial tone;Sound effect
-e2cBx-fZ7g,Christian music;Music
-eEhWLICanU,Music;Speech;Electronic tuner
-efgThyiXWI,"Cat;Music;Domestic animals, pets;Caterwaul;Speech;Animal"
-ehX__RTqF8,Music;Run
-elf_5HUVuc,Music;Independent music;Pop music;Rhythm and blues
-f6exYXS1Gk,Tick
-fEwlyG05Co,Air conditioning;Speech
-fIQkUYrSz4,Eruption
-fJlX1mKiv0,Music;Rattle
-fOCJllN4iE,"Slap, smack"
-fURq3jhY1Y,Throat clearing
-fhW5GMgcI4,Squawk
-fnhkx-XXeI,"Pig;Speech;Livestock, farm animals, working animals;Animal"
-fwDsIyHHb8,"Electric shaver, electric razor;Water tap, faucet;Speech"
-fwZGpmJNhw,"Boat, Water vehicle;Waves, surf;Wind;Ocean;Ship;Wind noise (microphone)"
-fxh7jAJR8U,Music of Asia;Music
-g-xW4azY7Q,Music;Middle Eastern music;Soundtrack music
-g50tCLEsVM,Snake;Hiss
-g6_Qzkrmug,Eruption;Vehicle;Speech
-gKNRXbpAKs,Ambulance (siren);Emergency vehicle;Siren;Civil defense siren
-gQg8z0ylFU,Snake;Hiss
-gStrDahsjU,"Doorbell;Music;Speech;Inside, large room or hall"
-gSxU1ceCLY,Zipper (clothing);Speech
-gWZyuEchB8,Cash register
-gcEf-olt7A,Music;Scrape
-gfBxHm8lhg,Water;Speech;Light engine (high frequency)
-gie2dhqP2c,Snoring;Speech;Breathing
-giyfFI9pko,Music of Africa
-gkrE5zQ8EY,Ding;Clang
-gxkMOB4q2g,Music;Rhythm and blues;Zing
-hDuDDv0lbQ,"Music;Domestic animals, pets;Howl;Yip;Dog;Animal"
-hKi6_xqPPI,Music;Synthetic singing
-hMwszM13PI,"Tearing;Speech;Inside, small room"
-hsT6SyyhsM,Sine wave;Chirp tone
-i-9C48tduw,Rain;Raindrop;Thunderstorm;Thunder
-iEvwLCjYXE,"Air conditioning;Speech;Inside, small room"
-ihTfc5Kx8s,Pump (liquid)
-iuUYyMOrjU,Music;Bang
-j3aoa1bEyA,"Cat;Domestic animals, pets;Caterwaul;Animal"
-jBWkHhQNew,"Engine;Idling;Accelerating, revving, vroom;Vehicle;Car;Medium engine (mid frequency);Engine starting"
-jMyzNbR7WM,Car passing by
-jNIaWOWUFI,Tick;Speech
-jpbCWcz2pk,Music;Soundtrack music;Happy music
-juN6TgEkb0,Music;Lullaby
-k009MXpfdo,Electric toothbrush
-k0CHx34n0Q,Breaking
-kBZeTTEOGc,"Bird;Bird vocalization, bird call, bird song;Coo;Pigeon, dove"
-kRxowDMwdQ,Engine knocking;Engine;Motorcycle;Vehicle
-kkTpMU4QS8,Single-lens reflex camera;Speech
-kt1BF31gIY,Cat;Purr;Animal
-kyuX8l4VWY,Crowd;Children shouting
-lBsO-dj_A4,Pulleys;Mechanisms
-lFwchGSkes,Video game music;Music
-lK6DOYxQ6s,Music;Synthetic singing
-lUCohWH9xg,Music;Knock;Speech
-lYg4hm25hU,Music;Bellow;Whoop;Speech
-lpK9Knsvz4,"Ice cream truck, ice cream van;Music;Inside, small room"
-lw0uLmWjlE,"Speech;Child speech, kid speaking;Children playing"
-m1eF1B0Qlk,Effects unit;Guitar;Music;Chorus effect;Distortion
-m5ZlWziIeA,Scratching (performance technique);Electronic music;House music;Music
-mA_bqD1tgU,Music;Happy music
-mB_XLq6g1g,Brass instrument;Trumpet
-mCvRi0gVE8,Music;Bang
-mFneOHpwak,Music;Whoop
-mNbbwgUZtQ,"Engine;Jackhammer;Speech;Outside, urban or manmade"
-mOSWOiFpgY,Music;Music for children;Thunk
-mQR-O53mFE,Crowd;Cheering;Children shouting
-mRz2kEp0ho,Music;Grunge
-mlRMOia7DU,Single-lens reflex camera;Speech;Camera
-nf_tbb2ixE,"Telephone dialing, DTMF;Telephone;Speech"
-o0ZtQIkM60,Music;Scary music
-o31A9GCAlc,Music;Synthesizer
-oGhPs2S17Q,Music;Bang
-oP-XX28B0s,Music;Soul music
-oSZw8b-vgU,Giggle;Speech
-oSw8wNpLcY,Buzzer;Siren
-oYYvzarYDs,"Skidding;Vehicle;Tire squeal;Car;Race car, auto racing"
-ockHs8mYQo,Slosh;Speech
-ojOx7vd_yU,Bicycle;Vehicle
-orugG3hBr4,Music;Bang
-oxF9jhY94s,"Cat;Domestic animals, pets;Caterwaul"
-oxqoh8EgGw,Sneeze;Music;Speech
-p1M8lMslEg,Speech;Light engine (high frequency)
-pBquWuzRwE,Engine;Idling;Engine starting
-pZ1yJYSrhc,Music;Radio
-peDsjbcA-0,Hiccup;Speech
-pjK2u3Qtxc,"Silence;Speech;Outside, rural or natural"
-pnursBn7wk,"Electric shaver, electric razor;Music;Speech"
-pzwalZ0ub0,Reversing beeps;Speech
-q00WwEUOCs,Music;Roll
-q1pzc3VMrg,"Speech;Crumpling, crinkling"
-qGd1JwYLbQ,"Domestic animals, pets;Howl;Yip;Bow-wow;Dog;Animal"
-qJ-NY6wY3s,Dog;Growling;Animal
-qdu3Aw0aNU,Dial tone;Speech
-qokdAl50qg,"Bee, wasp, etc.;Insect;Mosquito;Cricket;Fly, housefly"
-qovh3DNoX0,"Telephone dialing, DTMF;Music;Telephone;Speech;Inside, small room"
-r1H8hBeYmw,"Cat;Domestic animals, pets;Meow;Caterwaul;Animal"
-r7iz-9v9bA,Music;Scary music
-rAhS48FkYw,Blues;Music
-rIyGq-gIQw,"Propeller, airscrew;Helicopter;Speech;Aircraft"
-rcidFeRlmo,Air conditioning
-reNxUHvEl0,Ding-dong
-s9kwrRilOY,Reversing beeps;Truck;Vehicle
-sRFfU8k0Zs,Music;Scary music
-sSVQrnvyIk,Background music;Music;Soundtrack music
-skhG36uWM0,"Canidae, dogs, wolves;Domestic animals, pets;Speech;Dog;Growling"
-t1zgGxlhPM,"Field recording;Vehicle;Car;Race car, auto racing"
-tJVvrXU9MA,Helicopter;Aircraft
-tL4aWGx01s,"Boat, Water vehicle;Wind;Sailboat, sailing ship;Wind noise (microphone)"
-tVCMHW_Y4g,"Cutlery, silverware;Dishes, pots, and pans"
-t_n44IaDBw,Television;Speech
-tmY1GEH3_Y,Music;Exciting music
-u5yvewHxzE,Music;Rattle
-uBbPbRML3U,"Vehicle;Tire squeal;Car;Race car, auto racing"
-uCkr7KFkYg,"Male speech, man speaking;Speech"
-uIEWKSQ1z4,Speech;Child singing
-uLJl3o_AZw,Music;Electronica
-uSlzn9oPQ4,Rain;Thunderstorm;Thunder;Rain on surface
-uWB_lkFDhg,Environmental noise;Speech
-urYwYLrcMA,"Cat;Domestic animals, pets;Caterwaul;Animal"
-uuCV1W6jYk,Cowbell
-uzavgbcJVA,Spray;Speech
-v1_upmXCwI,"Ding;Jingle, tinkle;Clang"
-v423vsVOk8,"Speech;Boiling;Inside, small room"
-v4LAt0pJXQ,Printer
-v5GfNDLH2A,Cupboard open or close
-v5hgCh3M2w,Music;Tender music
-v9-b0vPRKU,Music;Slam;Speech
-vUMGKGmNKE,"Chewing, mastication;Domestic animals, pets"
-vmWpxQloGE,Singing;Music;Roll
-vuxZZJlWS4,Music;Punk rock
-w4HLksto_k,Tabla;Drum;Percussion
-wMsOTnj0XE,"Wail, moan;Speech"
-wVWjl9Kq6U,Blues
-wfRMEaJkRk,Motor vehicle (road);Skidding;Vehicle;Car
-wip6fvA10Q,Crackle;Speech
-wuxmTVc7kM,String section
-x2aAKUtNRw,Engine;Vehicle;Car;Medium engine (mid frequency);Engine starting
-x70B12Mb-8,Reversing beeps;Truck;Vehicle
-xUhOdzwLtw,Music;Television;Speech
-xYBYEJ_O6w,"Railroad car, train wagon;Train horn;Rail transport;Train"
-xeYpMf97eU,"Walk, footsteps;Speech"
-xyxF0ahpKk,Car passing by
-yERwTDWZuU,Guitar;Music;Musical instrument;Chorus effect
-yJk74Vfs2s,"Smash, crash;Whack, thwack"
-yXsEIH3Tbg,Singing;Music;Bellow
-yfGwGBVnlA,Electric guitar;Guitar;Music;Musical instrument;Strum;Plucked string instrument
-ysNtKG8FlU,"Cat;Domestic animals, pets;Meow;Animal"
-yvcu2zXj54,"Speech;Sewing machine;Inside, small room"
-z0muTLomL4,Knock;Speech
-z0q4AgXQwo,Motor vehicle (road);Skidding;Vehicle;Speech;Car
-z47zN0YyE4,"Fire engine, fire truck (siren);Emergency vehicle;Siren"
-z7B966NFRE,Toilet flush;Water
-z7_vq6OYb0,Speech;Synthetic singing
-zA6LL78KYU,"Harmonica;Wind instrument, woodwind instrument"
-zBm-sH0vOk,"Splash, splatter;Speech"
-zOybsEdM5E,Traditional music;Music
-zVKuWcCHpQ,Music;Television
-z_3aZqUmbw,Vacuum cleaner
-zhDNCJ46Ls,Music;Buzz
-zpL4Ut1clE,Tubular bells
-zxrdL6MlKI,Reversing beeps;Truck;Vehicle
0-3jSTs2Zsw,Music;Bleat;Speech
0-DkUF7TnnI,Rain;Raindrop
0-FH0xbm4gQ,Fusillade
0-bqcP2usR4,Music;Run;Speech
0-fd-lvizrY,Singing;Yodeling;Music
0-rNk6mnMCA,Air conditioning
00M9FhCet6s,Singing;Music;Ska
00W1lcxW-WU,Whistle
00mE-lhe_R8,Quack
0150dZu3Na8,"Female speech, woman speaking;Speech"
01B907_Gyys,Sine wave;Chirp tone
01PzcPKT3_E,Brass instrument;Trombone
01bTS8O2Xnc,Ringtone;Music
01hjVJN9xCg,Music;Choir;Male singing;Synthetic singing
01k1v-NgjWs,"Ding;Marimba, xylophone;Glockenspiel;Mallet percussion"
01q8wKX4XEQ,Arrow
01xpKyI0rXA,"Skidding;Vehicle;Car;Race car, auto racing"
021B2ozAjNg,Conversation;Speech
0298WjE3_tk,Music;Angry music
02JEvDAcq7U,Doorbell;Speech
02QXbqf9bbw,Single-lens reflex camera;Speech;Camera
02Qntw26enM,"Music;Theremin;Inside, small room"
02R_w3cr1i4,Run;Speech
02aq42RDm2Q,Vacuum cleaner
02n2I1JHq4U,Organ;Hammond organ
02pl9PaQwmI,Child singing
02q5C77_xeQ,"Domestic animals, pets;Walk, footsteps;Speech;Dog;Animal"
02rLonMSO9k,"Smoke detector, smoke alarm"
02tl_ek8f9I,Engine;Idling;Vehicle;Car
02z_7DUC_74,Jingle bell
032FsMMKWqM,Lullaby
03EmZCCkf-E,Splinter;Wood
03NLMEMi8-I,Siren;Civil defense siren
03frQGyrgQ4,Music;Theremin
03kFLTZguBs,"Crying, sobbing;Speech"
03lAXcmqsMU,Throat clearing
03z0rpIkm5g,Keys jangling;Music;Reggae;Ska
046ynbCwM90,Music;Crow;Caw
04JKX_vlePE,"Smoke detector, smoke alarm;Speech"
04RDcHpgzTM,Telephone bell ringing
04SFLoexHDo,Zither;Pizzicato
04gv6MSFimA,Splinter;Wood
058Nv060Fz4,Music;Bang
05H3CBB2oiI,Shuffle
05OJDYeHLMc,Music;Exciting music
05wEdbchyjM,"Alarm clock;Inside, small room"
06Brdf83RZE,Music;Tender music
06IU9WsEp3s,Music;Music of Latin America;Salsa music
06J19koRu_4,Shuffling cards
06OT6nqAuLM,"Jackhammer;Domestic animals, pets;Dog;Animal;Inside, small room"
06PzXIqzQXM,Hammer
06k-cXmaeAY,Yip;Speech
06kaFCdYJ3U,Music;Sidetone
06sLGiMrWlw,Music;Tender music
06yVT1kiZLY,Flap
07-3grCQ8EU,Traditional music;Music;Wedding music
07-vpXo91XM,Beatboxing;Music;Bellow;Hip hop music
075SHAj6J3Y,Theme music;Music
07J4uVMPSW4,Bicycle;Vehicle;Speech
07MJhv4uVlU,Music;Radio;Speech
07T0BRnolXg,Speech;Boiling
07VlN0dItyc,Idling
07ZERJd7-9c,Run
07aVkZp3k7Q,Snoring;Speech
07eQfg1IXzw,Timpani;Music;Speech
07mS0mSTDjY,Blues;Traditional music;Music;Speech;Dance music
07vCFDpflcQ,Bird;Duck
07yYzDPUPX8,Basketball bounce
088pGlFlgb4,Giggle
08IPzx0imsA,Music;Radio
08JpxCv_Bek,Slam;Speech
08U71rh7cDw,"Smash, crash;Whack, thwack"
08YFRFx-g7s,Music;Chorus effect;Distortion
08u-jdwjM74,Soul music
09TC9Yj7SHM,Croak;Frog
09_A89lHfNo,Busy signal
09aRpEfUxT0,Firecracker;Speech
09l9A1XVbpY,Singing;Music;Yell
09prsO9YM2c,Music;Lullaby
09w-ZFasRvE,Conversation;Speech
09zT8qlC384,Rain;Raindrop;Rain on surface
0AAvXso7C5c,Train whistle
0ADP-O_V3vA,Jazz;Music;Wedding music;Rhythm and blues
0ADfdHN1N2w,Coin (dropping)
0AGHo8V8HpM,Harpsichord;Keyboard (musical)
0AHA6Zz-ykw,Car passing by
0AV_U7kjgLU,Dial tone;Music;Pop music;Speech
0AhX-ReXovI,Tabla;Drum;Percussion
0AlEfN3Ye0U,"Cutlery, silverware"
0B3y6sa8jgw,Computer keyboard;Music;Snicker;Speech
0BFauf6TGGU,"Wind instrument, woodwind instrument;Shofar"
0BvcQAgQ0SE,Coin (dropping)
0CDP7zl6wCQ,Whispering;Speech
